Estado,Fecha,precio_litros,precio_kilos,precio_tanque20kg
aguascalientes,26-07-2023,8.68,16.07,321.4
baja-california-norte,26-07-2023,8.33,15.42,308.4
baja-california-sur,26-07-2023,10.77,19.95,399.0
campeche,26-07-2023,8.28,15.34,306.8
chiapas,26-07-2023,8.23,15.25,305.0
chihuahua,26-07-2023,8.47,15.69,313.8
cdmx,26-07-2023,8.1,15.0,300.0
coahuila-de-zaragoza,26-07-2023,8.49,15.73,314.6
colima,26-07-2023,8.43,15.62,312.4
durango,26-07-2023,9.23,17.09,341.8
estado-de-mexico,26-07-2023,8.17,15.12,302.4
guanajuato,26-07-2023,8.39,15.54,310.8
guerrero,26-07-2023,8.35,15.46,309.2
hidalgo,26-07-2023,8.24,15.25,305.0
jalisco,26-07-2023,8.39,15.54,310.8
michoacan,26-07-2023,8.39,15.54,310.8
morelos,26-07-2023,8.12,15.03,300.6
nayarit,26-07-2023,8.49,15.71,314.2
nuevo-leon,26-07-2023,8.67,16.06,321.2
oaxaca,26-07-2023,8.4,15.55,311.0
puebla,26-07-2023,8.12,15.04,300.8
queretaro,26-07-2023,8.19,15.18,303.6
quintana-roo,26-07-2023,8.9,16.5,330.0
san-luis-potosi-slp,26-07-2023,8.88,16.44,328.8
sinaloa,26-07-2023,9.39,17.38,347.6
sonora,26-07-2023,8.27,15.32,306.4
tabasco,26-07-2023,8.25,15.28,305.6
tamaulipas,26-07-2023,8.48,15.71,314.2
tlaxcala,26-07-2023,8.23,15.24,304.8
veracruz,26-07-2023,8.13,15.06,301.2
yucatan,26-07-2023,8.64,16.01,320.2
zacatecas,26-07-2023,8.81,16.32,326.4
aguascalientes,27-07-2023,8.68,16.07,321.4
baja-california-norte,27-07-2023,8.33,15.42,308.4
baja-california-sur,27-07-2023,10.77,19.95,399.0
campeche,27-07-2023,8.28,15.34,306.8
chiapas,27-07-2023,8.23,15.25,305.0
chihuahua,27-07-2023,8.47,15.69,313.8
cdmx,27-07-2023,8.1,15.0,300.0
coahuila-de-zaragoza,27-07-2023,8.49,15.73,314.6
colima,27-07-2023,8.43,15.62,312.4
durango,27-07-2023,9.23,17.09,341.8
estado-de-mexico,27-07-2023,8.17,15.12,302.4
guanajuato,27-07-2023,8.39,15.54,310.8
guerrero,27-07-2023,8.35,15.46,309.2
hidalgo,27-07-2023,8.24,15.25,305.0
jalisco,27-07-2023,8.39,15.54,310.8
michoacan,27-07-2023,8.39,15.54,310.8
morelos,27-07-2023,8.12,15.03,300.6
nayarit,27-07-2023,8.49,15.71,314.2
nuevo-leon,27-07-2023,8.67,16.06,321.2
oaxaca,27-07-2023,8.4,15.55,311.0
puebla,27-07-2023,8.12,15.04,300.8
queretaro,27-07-2023,8.19,15.18,303.6
quintana-roo,27-07-2023,8.9,16.5,330.0
san-luis-potosi-slp,27-07-2023,8.88,16.44,328.8
sinaloa,27-07-2023,9.39,17.38,347.6
sonora,27-07-2023,8.27,15.32,306.4
tabasco,27-07-2023,8.25,15.28,305.6
tamaulipas,27-07-2023,8.48,15.71,314.2
tlaxcala,27-07-2023,8.23,15.24,304.8
veracruz,27-07-2023,8.13,15.06,301.2
yucatan,27-07-2023,8.64,16.01,320.2
zacatecas,27-07-2023,8.81,16.32,326.4
