,Fecha,Delegacion,Combustible,Precio
0,27-07-2023,alvaro-obregon,Magna,23.11
1,27-07-2023,alvaro-obregon,Premium,25.59
2,27-07-2023,alvaro-obregon,Diesel,23.19
3,27-07-2023,azcapotzalco,Magna,22.17
4,27-07-2023,azcapotzalco,Premium,24.98
5,27-07-2023,azcapotzalco,Diesel,23.58
6,27-07-2023,benito-juarez,Magna,21.89
7,27-07-2023,benito-juarez,Premium,24.4
8,27-07-2023,benito-juarez,Diesel,23.24
9,27-07-2023,coyoacan,Magna,22.46
10,27-07-2023,coyoacan,Premium,24.82
11,27-07-2023,coyoacan,Diesel,23.88
12,27-07-2023,cuajimalpa-de-morelos,Magna,22.56
13,27-07-2023,cuajimalpa-de-morelos,Premium,24.97
14,27-07-2023,cuajimalpa-de-morelos,Diesel,23.28
15,27-07-2023,cuauhtemoc,Magna,22.46
16,27-07-2023,cuauhtemoc,Premium,24.99
17,27-07-2023,cuauhtemoc,Diesel,23.93
18,27-07-2023,gustavo-a-madero,Magna,22.26
19,27-07-2023,gustavo-a-madero,Premium,24.58
20,27-07-2023,gustavo-a-madero,Diesel,23.34
21,27-07-2023,iztacalco,Magna,21.41
22,27-07-2023,iztacalco,Premium,23.66
23,27-07-2023,iztacalco,Diesel,22.37
24,27-07-2023,iztapalapa,Magna,22.18
25,27-07-2023,iztapalapa,Premium,24.72
26,27-07-2023,iztapalapa,Diesel,23.57
27,27-07-2023,la-magdalena-contreras,Magna,22.76
28,27-07-2023,la-magdalena-contreras,Premium,24.94
29,27-07-2023,la-magdalena-contreras,Diesel,22.95
30,27-07-2023,miguel-hidalgo,Magna,22.47
31,27-07-2023,miguel-hidalgo,Premium,24.92
32,27-07-2023,miguel-hidalgo,Diesel,23.99
33,27-07-2023,milpa-alta,Magna,22.89
34,27-07-2023,milpa-alta,Premium,24.89
35,27-07-2023,milpa-alta,Diesel,
36,27-07-2023,tlahuac,Magna,22.02
37,27-07-2023,tlahuac,Premium,24.0
38,27-07-2023,tlahuac,Diesel,22.85
39,27-07-2023,tlalpan,Magna,22.06
40,27-07-2023,tlalpan,Premium,24.36
41,27-07-2023,tlalpan,Diesel,23.74
42,27-07-2023,venustiano-carranza,Magna,21.99
43,27-07-2023,venustiano-carranza,Premium,24.83
44,27-07-2023,venustiano-carranza,Diesel,23.97
45,27-07-2023,xochimilco,Magna,22.78
46,27-07-2023,xochimilco,Premium,24.84
47,27-07-2023,xochimilco,Diesel,23.62
48,29-07-2023,alvaro-obregon,Magna,23.11
49,29-07-2023,alvaro-obregon,Premium,25.59
50,29-07-2023,alvaro-obregon,Diesel,23.19
51,29-07-2023,azcapotzalco,Magna,22.17
52,29-07-2023,azcapotzalco,Premium,24.98
53,29-07-2023,azcapotzalco,Diesel,23.58
54,29-07-2023,benito-juarez,Magna,21.89
55,29-07-2023,benito-juarez,Premium,24.4
56,29-07-2023,benito-juarez,Diesel,23.24
57,29-07-2023,coyoacan,Magna,22.46
58,29-07-2023,coyoacan,Premium,24.82
59,29-07-2023,coyoacan,Diesel,23.88
60,29-07-2023,cuajimalpa-de-morelos,Magna,22.56
