Fecha,Delegacion,Combustible,Precio
27-07-2023,alvaro-obregon,Magna,23.11
27-07-2023,alvaro-obregon,Premium,25.59
27-07-2023,alvaro-obregon,Diesel,23.19
27-07-2023,azcapotzalco,Magna,22.17
27-07-2023,azcapotzalco,Premium,24.98
27-07-2023,azcapotzalco,Diesel,23.58
27-07-2023,benito-juarez,Magna,21.89
27-07-2023,benito-juarez,Premium,24.40
27-07-2023,benito-juarez,Diesel,23.24
27-07-2023,coyoacan,Magna,22.46
27-07-2023,coyoacan,Premium,24.82
27-07-2023,coyoacan,Diesel,23.88
27-07-2023,cuajimalpa-de-morelos,Magna,22.56
27-07-2023,cuajimalpa-de-morelos,Premium,24.97
27-07-2023,cuajimalpa-de-morelos,Diesel,23.28
27-07-2023,cuauhtemoc,Magna,22.46
27-07-2023,cuauhtemoc,Premium,24.99
27-07-2023,cuauhtemoc,Diesel,23.93
27-07-2023,gustavo-a-madero,Magna,22.26
27-07-2023,gustavo-a-madero,Premium,24.58
27-07-2023,gustavo-a-madero,Diesel,23.34
27-07-2023,iztacalco,Magna,21.41
27-07-2023,iztacalco,Premium,23.66
27-07-2023,iztacalco,Diesel,22.37
27-07-2023,iztapalapa,Magna,22.18
27-07-2023,iztapalapa,Premium,24.72
27-07-2023,iztapalapa,Diesel,23.57
27-07-2023,la-magdalena-contreras,Magna,22.76
27-07-2023,la-magdalena-contreras,Premium,24.94
27-07-2023,la-magdalena-contreras,Diesel,22.95
27-07-2023,miguel-hidalgo,Magna,22.47
27-07-2023,miguel-hidalgo,Premium,24.92
27-07-2023,miguel-hidalgo,Diesel,23.99
27-07-2023,milpa-alta,Magna,22.89
27-07-2023,milpa-alta,Premium,24.89
27-07-2023,milpa-alta,Diesel,N/A
27-07-2023,tlahuac,Magna,22.02
27-07-2023,tlahuac,Premium,24.00
27-07-2023,tlahuac,Diesel,22.85
27-07-2023,tlalpan,Magna,22.06
27-07-2023,tlalpan,Premium,24.36
27-07-2023,tlalpan,Diesel,23.74
27-07-2023,venustiano-carranza,Magna,21.99
27-07-2023,venustiano-carranza,Premium,24.83
27-07-2023,venustiano-carranza,Diesel,23.97
27-07-2023,xochimilco,Magna,22.78
27-07-2023,xochimilco,Premium,24.84
27-07-2023,xochimilco,Diesel,23.62
